#FILE	NUM_FOUND	AAC3	AAC6-PRIME	ACRA	ACRB	ACRD	AMPH	ANT3-DPRIME	APH3-DPRIME	APH3-PRIME	APH4	APH6	BACA	BAER	BAES	BCR	CARB	CMY	CPXAR	CRP	CTX	EMRA	EMRB	EMRD	EMRR	ERMB	FLOR	FOSA	GESA	GESB	GESC	HNS	KDPE	MARA	MARR	MDTA	MDTB	MDTC	MDTK	MPHA	MSBA	PBP2	PMRG	QNRB	RAMA	ROBA	SDIA	SOXS	SULI	SULII	TEM	TETA	TETB	TETD	TETG	YOGI
SRR10995705_contigs.fasta	26	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	99.49;100.00	100.00	.	99.91	99.81	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	.	.	100.00	99.95	100.00	.	94.67	100.00	100.00	98.77	.	.	.	.	.	.	.	.
SRR10995706_contigs.fasta	26	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	100.00;99.49	100.00	.	99.91	99.81	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	.	.	100.00	99.95	100.00	.	94.67	100.00	100.00	98.77	.	.	.	.	.	.	.	.
SRR11068400_contigs.fasta	38	.	100.00	100.00	99.40	100.00	100.00	.	86.84	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	100.00	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	100.00	.	100.00	.	.	.	99.82
SRR11068401_contigs.fasta	33	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	100.00;99.49	100.00	.	99.91	99.81	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	99.76	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR11319451_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR11319452_contigs.fasta	26	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	99.49;100.00	100.00	.	99.91	99.81	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	.	.	100.00	99.95	100.00	.	94.67	100.00	100.00	98.77	.	.	.	.	.	.	.	.
SRR11892800_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR11892806_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR11901857_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR11901858_contigs.fasta	33	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	99.76	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR12271055_contigs.fasta	36	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	88.53	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR12641661_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR12739110_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR12740292_contigs.fasta	35	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	100.00	100.00	.	99.70
SRR12740302_contigs.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR12741658_contigs.fasta	37	.	100.00	100.00	99.40	100.00	100.00	99.81	.	.	.	.	99.39	100.00	100.00	100.00	100.00	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	100.00	99.70
SRR13510233_contigs.fasta	33	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.64
SRR13827088_contigs.fasta	41	.	100.00	100.00	99.40	100.00	100.00	99.28	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	100.00	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20	100.00	100.00	100.00	100.00	.	.	100.00	100.00	99.69	100.00	.	98.26	100.00	.	.	.	99.70
SRR13827091_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR13827092_contigs.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR14095472_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR14466819_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.26	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR14704455_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15050789_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15050790_contigs.fasta	38	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	100.00	98.26	.	100.00	.	.	99.70
SRR15050791_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15051711_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15053931_contigs.fasta	39	.	100.00	100.00	99.40	100.00	100.00	.	100.00	99.75	.	100.00	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	100.00	.	.	100.00	98.32	.	99.64
SRR15053932_contigs.fasta	38	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	100.00	98.26	.	100.00	.	.	99.70
SRR15053937_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15053938_contigs.fasta	37	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	100.00	.	.	.	99.70
SRR15053939_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	99.95	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15053941_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15053946_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR15103296_contigs.fasta	40	99.87	100.00	100.00	99.40	100.00	.	99.59	.	.	100.00	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	100.00;100.00	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	97.21	.	100.00	100.00	99.69;99.69	100.00	.	.	100.00	.	.	.	99.64
SRR15146556_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.74	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.85	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR15277966_contigs.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.64
SRR15712211_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR16005866_contigs.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.64
SRR16005867_contigs.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR16005869_contigs.fasta	36	.	100.00	100.00	99.40	100.00	.	.	86.84	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	100.00	.	100.00	.	.	.	99.70
SRR16005870_contigs.fasta	39	99.87	100.00	100.00	99.40	100.00	.	99.59	.	.	100.00	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	100.00;100.00	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	100.00	.	.	100.00	.	.	.	99.64
SRR6311159_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR6814919_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR8258218_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	.
SRR8360137_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR8502790_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.26	100.00	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.82
SRR8502829_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR8763158_contigs.fasta	36	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	100.00	99.39	100.00	100.00	99.83	.	.	99.49;100.00	100.00	100.00;99.78	99.91	100.00	99.50	100.00	.	.	.	100.00	.	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR9016864_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR9016866_contigs.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	.	100.00	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR9050356_contigs.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	100.00;99.49	100.00	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	.	.	.	.	.	.	99.70
SRR9301052_contigs.fasta	39	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	100.00	99.49;100.00	100.00	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	100.00	100.00	99.69	.	100.00	.	100.00	.	.	.	99.70
