#FILE	NUM_FOUND	AAC3	AAC6-PRIME	ACRA	ACRB	ACRD	AMPH	ANT3-DPRIME	APH3-DPRIME	APH3-PRIME	APH4	APH6	BACA	BAER	BAES	BCR	BLE	CARB	CMLA	CMY	CPXAR	CRP	CTX	DFRA	EMRA	EMRB	EMRD	EMRR	ERMB	FLOR	FOSA	GESA	GESB	GESC	HNS	KDPE	MARA	MARR	MDTA	MDTB	MDTC	MDTK	MPHA	MSBA	PBP2	PMRG	QACL	QNRA	QNRB	RAMA	ROBA	SDIA	SOXS	SULI	SULII	TEM	TETA	TETB	TETM	YOGI
SRR13510233_assembly.fasta	33	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.64
SRR13827088_assembly.fasta	41	.	100.00	100.00	99.40	100.00	100.00	99.28	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	100.00	.	.	100.00	100.00	100.00	100.00	92.33	91.28	99.54	100.00	100.00	100.00	99.20	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	100.00	.	98.26	100.00	.	.	99.70
SRR13827091_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	91.45	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR13827092_assembly.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR14095472_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	92.77	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR14466819_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.26	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.82
SRR14704455_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	99.95	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR15050789_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	92.77	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR15050790_assembly.fasta	38	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	92.33	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	100.00	98.26	.	100.00	.	99.70
SRR15050791_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR15103296_assembly.fasta	39	99.87	100.00	100.00	99.40	100.00	.	99.59	.	.	100.00	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	100.00;100.00	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	100.00	.	.	100.00	.	.	99.64
SRR15146556_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.74	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.85	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.82
SRR15277966_assembly.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.64
SRR15712211_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR16005866_assembly.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	92.33	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.64
SRR16005867_assembly.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR16005869_assembly.fasta	36	.	100.00	100.00	99.40	100.00	.	.	86.84	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	100.00	.	100.00	.	.	99.70
SRR16005870_assembly.fasta	39	99.87	100.00	100.00	99.40	100.00	.	99.59	.	.	100.00	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	100.00;100.00	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	92.77	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	100.00	.	.	100.00	.	.	99.64
SRR16506860_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	99.81	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR16965273_assembly.fasta	26	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	98.20	100.00	.	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	.	.	.	100.00	.	100.00	99.54	99.76	100.00	100.00	.	.	100.00	99.95	100.00	.	.	.	94.67	100.00	100.00	98.77	.	.	.	.	.	.	.
SRR17115413_assembly.fasta	40	.	100.00	100.00	99.40	100.00	100.00	.	100.00	100.00	.	100.00	99.39	100.00	100.00	100.00	.	.	.	100.00	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	100.00	.	97.33	.	.	99.70
SRR17230658_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	92.33	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR17468272_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR17468275_assembly.fasta	38	99.87	100.00	100.00	99.40	100.00	.	99.59	.	.	100.00	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	100.00	.	.	100.00	.	.	99.64
SRR17518188_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.74	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR17720340_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR17913424_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR18347376_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	93.22	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR18347377_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	91.45	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR18347379_assembly.fasta	42	.	100.00	100.00	99.40	100.00	.	97.92	.	.	.	.	99.39	100.00	100.00	100.00	.	87.38	.	.	99.49;100.00	100.00	82.45;82.23	100.00	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	92.77	100.00	99.54	100.00	100.00	100.00	100.00;99.20	100.00	100.00	100.00	100.00	.	100.00	.	94.67	100.00	100.00	99.69	100.00;100.00	.	.	100.00	.	.	99.70
SRR18347383_assembly.fasta	29	.	100.00	100.00	99.81	100.00	.	.	.	.	.	.	99.27	98.20	100.00	99.83	.	.	.	.	100.00;99.49	100.00	.	.	99.66	100.00	99.50	100.00	.	.	.	99.76	99.97	98.54	100.00	.	96.92	99.54	.	99.97	100.00	.	.	100.00	100.00	98.84	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.82
SRR18890647_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR18963375_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	98.86	100.00	100.00	100.00	99.12	91.28	99.54	99.76	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	.
SRR18963378_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.82
SRR19032716_assembly.fasta	39	.	100.00	100.00	99.40	100.00	100.00	.	100.00	.	.	100.00	99.39	100.00	100.00	100.00	.	.	.	100.00	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	100.00	.	97.33	.	.	99.70
SRR19317098_assembly.fasta	38	99.87	100.00	100.00	99.40	100.00	.	99.59	.	.	100.00	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	100.00	.	.	100.00	.	.	99.64
SRR19317100_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR19396452_assembly.fasta	32	.	100.00	100.00	99.40	100.00	.	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR19396454_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR19396455_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.26	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.82
SRR19431814_assembly.fasta	40	99.87	100.00	100.00	99.40	100.00	.	99.59	100.00	.	100.00	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	100.00;100.00	100.00	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	100.00	.	.	100.00	.	.	99.64
SRR19431820_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR20231330_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR22022009_assembly.fasta	40	.	100.00	100.00	99.40	100.00	100.00	.	100.00	100.00	.	100.00	99.39	100.00	100.00	100.00	.	.	.	100.00	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	100.00	.	100.00	100.00	100.00	100.00	99.12	91.28	99.54	100.00	100.00	100.00	100.00;99.20	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	100.00	.	100.00	.	.	99.70
SRR22129576_assembly.fasta	33	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	99.83	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	93.81	91.28	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR22129578_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR22857839_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR22858223_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR22858252_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR22858268_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	100.00;99.49	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
SRR22858275_assembly.fasta	34	.	100.00	100.00	99.40	100.00	100.00	.	.	.	.	.	99.39	100.00	100.00	100.00	.	.	.	.	99.49;100.00	100.00	.	.	99.91	100.00	99.50	100.00	.	.	.	100.00	100.00	100.00	100.00	99.12	100.00	99.54	100.00	100.00	100.00	99.20;100.00	.	100.00	100.00	100.00	.	.	.	94.67	100.00	100.00	99.69	.	.	.	.	.	.	99.70
